OCEAN,ID_mrgd,nm_mrgd,continent,fa_ffcl,fa_ffcl_notes,O_name_En_Website,Short_name_En_Website,Country_name,Continent_name,Continent_ID,ISO3_country,ISO3_territory
NA,8444,American Samoa Exclusive Economic Zone,Oceania,American Samoa,NA,American Samoa,American Samoa,United States of America,Oceania,OCE,USA,ASM
NA,8412,Anguilla Exclusive Economic Zone,Americas,Anguilla,NA,Anguilla,Anguilla,United Kingdom,America,AME,GBR,AIA
NA,8414,Antigua and Barbuda Exclusive Economic Zone,Americas,Antigua and Barbuda,NA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,America,AME,ATG,ATG
NA,26519,Aruban Exclusive Economic Zone,Americas,Aruba,NA,Aruba,Aruba,Netherlands,America,AME,NLD,ABW
NA,8401,Clipperton Exclusive Economic Zone,Oceania,Clipperton Island,2 records,Clipperton Island,Clipperton Island,France,Oceania,OCE,FRA,PYF
NA,8364,Spanish Exclusive Economic Zone (Canary Islands),Europe,the Canary Islands,2 records,the Canary Islands,Canary Islands (the),Spain,Europe,EUR,ESP,ESP
NA,8363,Portuguese Exclusive Economic Zone (Madeira),Europe,the Madeira Islands,2 records,the Madeira Islands,Madeira Islands (the),Portugal,Europe,EUR,PRT,PRT
NA,8323,Australian Exclusive Economic Zone,Oceania,Australia,NA,Australia,Australia,Australia,Oceania,OCE,AUS,AUS
NA,62589,Chagos Archipelago Exclusive Economic Zone,Asia,the Chagos Archipelago,2 records,the Chagos Archipelago,Chagos Archipelago (the),Mauritius,Asia,ASI,MUS,MUS
NA,8418,Barbados Exclusive Economic Zone,Americas,Barbados,NA,Barbados,Barbados,Barbados,America,AME,BRB,BRB
NA,8457,Belizean Exclusive Economic Zone,Americas,Belize,NA,Belize,Belize,Belize,America,AME,BLZ,BLZ
NA,8402,Bermudian Exclusive Economic Zone,Americas,Bermuda,NA,Bermuda,Bermuda,United Kingdom,America,AME,GBR,BMU
NA,8443,Palmyra Atoll Exclusive Economic Zone,Oceania,Palmyra Atoll,2 records,Palmyra Atoll,Palmyra Atoll,United States of America,Oceania,OCE,USA,UMI
NA,8452,Johnston Atoll Exclusive Economic Zone,Oceania,Johnston Atoll,2 records,Johnston Atoll,Johnston Atoll,United States of America,Oceania,OCE,USA,UMI
NA,8319,Wake Island Exclusive Economic Zone,Oceania,Wake Island,2 records,Wake Island,Wake Island,United States of America,Oceania,OCE,USA,UMI
NA,22491,Bosnian and Herzegovinian Exclusive Economic Zone,Europe,Bosnia and Herzegovina,NA,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,EUR,BIH,BIH
NA,26521,Bruneian Exclusive Economic Zone,Asia,Brunei Darussalam,NA,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Asia,ASI,BRN,BRN
NA,8493,Canadian Exclusive Economic Zone,Americas,Canada,NA,Canada,Canada,Canada,America,AME,CAN,CAN
NA,8309,Christmas Island Exclusive Economic Zone,Oceania,Christmas Island,NA,Christmas Island,Christmas Island,Australia,Oceania,OCE,AUS,CXR
NA,26517,Cura√ßaoan Exclusive Economic Zone,Americas,Curaçao,NA,Curaçao,Curaçao,NA,NA,NA,NA,CUW
NA,8462,French Guiana Exclusive Economic Zone,Americas,French Guiana,NA,French Guiana,French Guiana,France,America,AME,FRA,GUF
NA,8440,French Polynesian Exclusive Economic Zone,Oceania,French Polynesia,NA,French Polynesia,French Polynesia,France,Oceania,OCE,FRA,PYF
NA,8442,Jarvis Island Exclusive Economic Zone,Oceania,Jarvis Island,2 records,Jarvis Island,Jarvis Island,United States of America,Oceania,OCE,USA,UMI
NA,5678,Georgian Exclusive Economic Zone,Europe,Georgia,NA,Georgia,Georgia,Georgia,Europe,EUR,GEO,GEO
NA,8438,Greenlandic Exclusive Economic Zone,Americas,Greenland,NA,Greenland,Greenland,Denmark,--,--,DNK,GRL
NA,8419,Grenadian Exclusive Economic Zone,Americas,Grenada,NA,Grenada,Grenada,Grenada,America,AME,GRD,GRD
NA,33177,Guadeloupean Exclusive Economic Zone,Americas,Guadeloupe,NA,Guadeloupe,Guadeloupe,France,America,AME,FRA,GLP
NA,48957,Guam Exclusive Economic Zone,Oceania,Guam,NA,Guam,Guam,United States of America,Oceania,OCE,USA,GUM
NA,8388,Heard and McDonald Islands Exclusive Economic Zone,Oceania,Heard Island and McDonald Islands,NA,Heard Island and McDonald Islands,Heard Island and McDonald Islands,NA,NA,NA,NA,HMD
NA,5680,Icelandic Exclusive Economic Zone,Europe,Iceland,NA,Iceland,Iceland,Iceland,Europe,EUR,ISL,ISL
NA,5681,Irish Exclusive Economic Zone,Europe,Ireland,NA,Ireland,Ireland,Ireland,Europe,EUR,IRL,IRL
NA,8459,Jamaican Exclusive Economic Zone,Americas,Jamaica,NA,Jamaica,Jamaica,Jamaica,America,AME,JAM,JAM
NA,8487,Japanese Exclusive Economic Zone,Asia,Japan,NA,Japan,Japan,Japan,Asia,ASI,JPN,JPN
NA,8483,Malaysian Exclusive Economic Zone,Asia,Malaysia,NA,Malaysia,Malaysia,Malaysia,Asia,ASI,MYS,MYS
NA,33178,Martinican Exclusive Economic Zone,Americas,Martinique,NA,Martinique,Martinique,France,America,AME,FRA,MTQ
NA,5691,Montenegrin Exclusive economic Zone,Europe,Montenegro,NA,Montenegro,Montenegro,Montenegro,Europe,EUR,MNE,MNE
NA,8415,Montserrat Exclusive Economic Zone,Americas,Montserrat,NA,Montserrat,Montserrat,United Kingdom,America,AME,GBR,MSR
Arctic,18,Arctic Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic,27,"Atlantic, Northeast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic,47,"Atlantic, Southeast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic,34,"Atlantic, Eastern Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic,41,"Atlantic, Southwest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic,21,"Atlantic, Northwest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic,31,"Atlantic, Western Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian,51,"Indian Ocean, Western",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian,57,"Indian Ocean, Eastern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8389,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48961,Joint regime area Argentina / Uruguay,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48962,Joint regime area Peru / Ecuador,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8451,Howland and Baker Islands Exclusive Economic Zone,Oceania,the United States Minor Outlying Islands (Howland and Baker Islands),4 records,Howland Island,Howland Island,United States of America,Oceania,OCE,USA,UMI
NA,8311,Australian Exclusive Economic Zone (Macquarie Island),Oceania,Australia (Macquarie Island),fao official & eez name,Australia,Australia,Australia,Oceania,OCE,AUS,AUS
NA,48944,Overlapping claim Mayotte: France / Comoros,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48946,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8381,Brazilian Exclusive Economic Zone (Trindade),Americas,the Federative Republic of Brazil (Trindade),fao official & eez name,the Federative Republic of Brazil,Brazil,Brazil,America,AME,BRA,BRA
NA,22756,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),Americas,the Republic of Chile (San Felix and San Ambrosio islands),fao official & eez name,the Republic of Chile,Chile,Chile,America,AME,CHL,CHL
NA,21787,Chilean Exclusive Economic Zone (Easter Island),Americas,the Republic of Chile (Easter Island),fao official & eez name,the Republic of Chile,Chile,Chile,America,AME,CHL,CHL
NA,62596,Colombian Exclusive Economic Zone (Serrana),Americas,the Republic of Colombia (Serrana),fao official & eez name,the Republic of Colombia,Colombia,Colombia,America,AME,COL,COL
NA,48945,Overlapping claim Glorioso Islands: France / Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,62598,Colombian Exclusive Economic Zone (Quitasue√±o),Americas,the Republic of Colombia (Quitasue√±o),fao official & eez name,the Republic of Colombia,Colombia,Colombia,America,AME,COL,COL
NA,48948,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48984,Colombian Exclusive Economic Zone (Serranilla),Americas,the Republic of Colombia  (Serranilla),fao official & eez name,the Republic of Colombia,Colombia,Colombia,America,AME,COL,COL
NA,33176,Overlapping claim: Kenya / Somalia,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8365,Overlapping claim Gibraltarian Exclusive Economic Zone,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48951,Overlapping claim Navassa Island: USA / Haiti / Jamaica,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48964,Joint regime area Senegal / Guinea Bissau,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48965,Overlapping claim: Venezuela / Aruba / Dominican Republic,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48966,Joint regime area Spain / France,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48967,Joint regime area United Kingdom / Denmark (Faeroe Islands),Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48943,Overlapping claim: Canada / USA,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48968,Joint regime area Costa Rica / Ecuador (Galapagos),Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48969,Joint regime area Guyana / Barbados,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48970,Joint regime area Colombia / Dominican Republic,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48971,Overlapping claim: Venezuela / Colombia / Dominican Republic,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,33185,Overlapping claim: Trinidad and Tobago / Venezuela / Guyana,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,21792,Joint regime area Colombia / Jamaica,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48972,Joint regime area Honduras / Cayman Islands,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48973,Joint regime area Iceland / Denmark (Faeroe Islands),Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48974,Joint regime area Ecuador / Colombia,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48975,Joint regime area Iceland / Norway (Jan Mayen),Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8368,Overlapping claim Western Saharan Exclusive Economic Zone,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48982,Overlapping claim: Puerto Rico / Dominican Republic,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,49000,Overlapping claim Melilla: Spain / Morocco,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,49001,Overlapping claim Alhucemas Islands: Spain / Morocco,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48998,Overlapping claim Perejil Island: Spain / Morocco,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,49002,Overlapping claim Ceuta: Spain / Morocco,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48999,Overlapping claim Pe√±√≥n de V√©lez de la Gomera: Spain / Morocco,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48997,Overlapping claim Chafarinas Islands: Spain / Morocco,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48947,Overlapping claim: Iran / United Arab Emirates,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48956,Overlapping claim Doumeira Islands: Djibouti / Eritrea,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,21797,Joint regime area Nigeria / Sao Tome and Principe,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48976,Joint regime area Italy / France,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48954,Overlapping claim Senkaku Islands: Japan / China / Taiwan,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,21796,Joint regime area Japan / Korea,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48977,Joint regime area Sweden / Norway,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5695,Overlapping claim Ukrainian Exclusive Economic Zone,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48950,Overlapping claim Kuril Islands: Japan / Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48985,Colombian Exclusive Economic Zone (Bajo Nuevo),Americas,the Republic of Colombia (Bajo Nuevo),fao official & eez name,the Republic of Colombia,Colombia,Colombia,America,AME,COL,COL
NA,26582,Overlapping claim: Sudan / Egypt,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,49003,Overlapping claim South China Sea,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,50167,Joint regime area Croatia / Slovenia,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48955,Overlapping claim Liancourt Rocks: Japan / South Korea,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,50170,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,48978,Joint regime area United States / Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8383,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,81,"Pacific, Southwest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,67,"Pacific, Northeast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,61,"Pacific, Northwest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,71,"Pacific, Western Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,87,"Pacific, Southeast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,77,"Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Ocean,58,"Indian Ocean, Antarctic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Ocean,48,"Atlantic, Antarctic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Ocean,88,"Pacific, Antarctic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8312,New Caledonian Exclusive Economic Zone,Oceania,New Caledonia,NA,New Caledonia,New Caledonia,France,Oceania,OCE,FRA,NCL
NA,8455,New Zealand Exclusive Economic Zone,Oceania,New Zealand,NA,New Zealand,New Zealand,New Zealand,Oceania,OCE,NZL,NZL
NA,8447,Niue Exclusive Economic Zone,Oceania,Niue,NA,Niue,Niue,NA,NA,NA,NA,NIU
NA,8310,Norfolk Island Exclusive Economic Zone,Oceania,Norfolk Island,NA,Norfolk Island,Norfolk Island,NA,NA,NA,NA,NFK
NA,48953,Palestinian Exclusive Economic Zone,Asia,Palestine,NA,Palestine,Palestine,Palestine,Asia,ASI,PSE,PSE
NA,8439,Pitcairn Islands Exclusive Economic Zone,Oceania,Pitcairn,NA,Pitcairn,Pitcairn,NA,NA,NA,NA,PCN
NA,8338,R√©union Exclusive Economic Zone,Africa,Réunion,NA,Réunion,Réunion,NA,NA,NA,NA,REU
NA,5689,Romanian Exclusive economic Zone,Europe,Romania,NA,Romania,Romania,Romania,Europe,EUR,ROU,ROU
NA,8413,Saint Kitts and Nevis Exclusive Economic Zone,Americas,Saint Kitts and Nevis,NA,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,America,AME,KNA,KNA
NA,8416,Saint Lucia Exclusive Economic Zone,Americas,Saint Lucia,NA,Saint Lucia,Saint Lucia,Saint Lucia,America,AME,LCA,LCA
NA,8494,Saint-Pierre and Miquelon Exclusive Economic Zone,Americas,Saint Pierre and Miquelon,NA,Saint Pierre and Miquelon,Saint Pierre and Miquelon,France,America,AME,FRA,SPM
NA,8421,Saint Vincent and the Grenadines Exclusive Economic Zone,Americas,Saint Vincent and the Grenadines,NA,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent/Grenadines,America,AME,VCT,VCT
NA,48952,Saint-Barth√©lemy Exclusive Economic Zone,Americas,Saint Barthélemy,NA,Saint Barthélemy,Saint Barthélemy,NA,NA,NA,NA,BLM
NA,8495,Saint-Martin Exclusive Economic Zone,Americas,Saint Martin (French part),NA,Saint Martin (French part),Saint Martin (French part),NA,NA,NA,NA,NA
NA,21803,Sint-Maarten Exclusive Economic Zone,Americas,Sint Maarten (Dutch part),NA,Sint Maarten (Dutch part),Sint Maarten (Dutch part),NA,NA,NA,NA,SXM
NA,8314,Solomon Islands Exclusive Economic Zone,Oceania,Solomon Islands,NA,Solomon Islands,Solomon Islands,Solomon Islands,Oceania,OCE,SLB,SLB
NA,8321,Taiwanese Exclusive Economic Zone,Asia,Taiwan Province of China,NA,Taiwan Province of China,Taiwan Province of China,China,Asia,ASI,CHN,TWN
NA,8490,Egyptian Exclusive Economic Zone,Africa,the Arab Republic of Egypt,NA,the Arab Republic of Egypt,Egypt,Egypt,Africa,AFR,EGY,EGY
NA,8466,Argentinean Exclusive Economic Zone,Americas,the Argentine Republic,NA,the Argentine Republic,Argentina,Argentina,America,AME,ARG,ARG
NA,21788,Guernsey Exclusive Economic Zone,Europe,the Bailiwick of Guernsey,NA,the Bailiwick of Guernsey,Guernsey,NA,NA,NA,NA,GGY
NA,21789,Jersey Exclusive Economic Zone,Europe,the Bailiwick of Jersey,NA,the Bailiwick of Jersey,Jersey,NA,NA,NA,NA,JEY
NA,8433,Venezuelan Exclusive Economic Zone,Americas,the Bolivarian Republic of Venezuela,NA,the Bolivarian Republic of Venezuela,Bolivarian Republic of Venezuela (the),"Venezuela, Boliv Rep of",America,AME,VEN,VEN
NA,8411,British Virgin Islands Exclusive Economic Zone,Americas,the British Virgin Islands,NA,the British Virgin Islands,British Virgin Islands (the),NA,NA,NA,NA,VGB
NA,8407,Cayman Islands Exclusive Economic Zone,Americas,the Cayman Islands,NA,the Cayman Islands,Cayman Islands (the),NA,NA,NA,NA,CYM
NA,8460,Guyanese Exclusive Economic Zone,Americas,the Co-operative Republic of Guyana,NA,the Co-operative Republic of Guyana,Guyana,Guyana,America,AME,GUY,GUY
NA,8308,Cocos Islands Exclusive Economic Zone,Oceania,the Cocos (Keeling) Islands,NA,the Cocos (Keeling) Islands,Cocos (Keeling) Islands (the),NA,NA,NA,NA,CCK
NA,8417,Dominican Exclusive Economic Zone,Americas,the Commonwealth of Dominica,NA,the Commonwealth of Dominica,Dominica,Dominica,America,AME,DMA,DMA
NA,33179,Puerto Rican Exclusive Economic Zone,Americas,the Commonwealth of Puerto Rico,NA,the Commonwealth of Puerto Rico,Puerto Rico,NA,NA,NA,NA,PRI
NA,8404,Bahamas Exclusive Economic Zone,Americas,the Commonwealth of the Bahamas,NA,the Commonwealth of the Bahamas,Bahamas (the),Bahamas,America,AME,BHS,BHS
NA,48980,Northern Mariana Exclusive Economic Zone,Oceania,the Commonwealth of the Northern Mariana Islands,NA,the Commonwealth of the Northern Mariana Islands,Northern Mariana Islands (the),NA,NA,NA,NA,MNP
NA,8446,Cook Islands Exclusive Economic Zone,Oceania,the Cook Islands,NA,the Cook Islands,Cook Islands (the),New Zealand,Oceania,OCE,NZL,COK
NA,8328,North Korean Exclusive Economic Zone,Asia,the Democratic People's Republic of Korea,NA,the Democratic People's Republic of Korea,Democratic People's Republic of Korea (the),"Korea, Dem. People's Rep",Asia,ASI,PRK,PRK
NA,8397,Sao Tome and Principe Exclusive Economic Zone,Africa,the Democratic Republic of Sao Tome and Principe,NA,the Democratic Republic of Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Africa,AFR,STP,STP
NA,8477,Democratic Republic of the Congo Exclusive Economic Zone,Africa,the Democratic Republic of the Congo,NA,the Democratic Republic of the Congo,Democratic Republic of the Congo (the),"Congo, Dem. Rep. of the",Africa,AFR,COD,COD
NA,8758,East Timorian Exclusive Economic Zone,Asia,the Democratic Republic of Timor-Leste,NA,the Democratic Republic of Timor-Leste,Timor-Leste,Timor-Leste,Asia,ASI,TLS,TLS
NA,8346,Sri Lankan Exclusive Economic Zone,Asia,the Democratic Socialist Republic of Sri Lanka,NA,the Democratic Socialist Republic of Sri Lanka,Sri Lanka,Sri Lanka,Asia,ASI,LKA,LKA
NA,8409,Dominican Republic Exclusive Economic Zone,Americas,the Dominican Republic,NA,the Dominican Republic,Dominican Republic (the),Dominican Republic,America,AME,DOM,DOM
NA,8467,Uruguayan Exclusive Economic Zone,Americas,the Eastern Republic of Uruguay,NA,the Eastern Republic of Uruguay,Uruguay,Uruguay,America,AME,URY,URY
NA,8435,Faeroe Exclusive Economic Zone,Europe,the Faroe Islands,NA,the Faroe Islands,Faroe Islands (the),NA,NA,NA,NA,FRO
NA,5669,German Exclusive Economic Zone,Europe,the Federal Republic of Germany,NA,the Federal Republic of Germany,Germany,Germany,Europe,EUR,DEU,DEU
NA,8474,Nigerian Exclusive Economic Zone,Africa,the Federal Republic of Nigeria,NA,the Federal Republic of Nigeria,Nigeria,Nigeria,Africa,AFR,NGA,NGA
NA,8350,Somali Exclusive Economic Zone,Africa,the Federal Republic of Somalia,NA,the Federal Republic of Somalia,Somalia,Somalia,Africa,AFR,SOM,SOM
NA,8316,Micronesian Exclusive Economic Zone,Oceania,the Federated States of Micronesia,NA,the Federated States of Micronesia,Federated States of Micronesia (the),"Micronesia, Fed.States of",Oceania,OCE,FSM,FSM
NA,8403,Ecuadorian Exclusive Economic Zone (Galapagos),Americas,the Republic of Ecuador (Galapagos),fao official & eez name,the Republic of Ecuador,Ecuador,Ecuador,America,AME,ECU,ECU
NA,8464,Brazilian Exclusive Economic Zone,Americas,the Federative Republic of Brazil,NA,the Federative Republic of Brazil,Brazil,Brazil,America,AME,BRA,BRA
NA,5677,French Exclusive Economic Zone,Europe,the French Republic,NA,the French Republic,France,France,Europe,EUR,FRA,FRA
NA,8340,Bassas da India Exclusive Economic Zone,Africa,Bassas da India,NA,Bassas da India,Bassas da India,NA,NA,NA,NA,NA
NA,8476,Gabonese Exclusive Economic Zone,Africa,the Gabonese Republic,NA,the Gabonese Republic,Gabon,Gabon,Africa,AFR,GAB,GAB
NA,8491,Jordanian Exclusive Economic Zone,Asia,the Hashemite Kingdom of Jordan,NA,the Hashemite Kingdom of Jordan,Jordan,Jordan,Asia,ASI,JOR,JOR
NA,5679,Greek Exclusive Economic Zone,Europe,the Hellenic Republic,NA,the Hellenic Republic,Greece,Greece,Europe,EUR,GRC,GRC
