OCEAN,ID_mrgd,nm_mrgd,continent,fa_ffcl,fa_ffcl_notes,O_name_En_Website,Short_name_En_Website,Country_name,Continent_name,Continent_ID,ISO3_country,ISO3_territory
NA,8324,Papua New Guinean Exclusive Economic Zone,Oceania,the Independent State of Papua New Guinea,NA,the Independent State of Papua New Guinea,Papua New Guinea,NA,NA,NA,NA,PNG
NA,8445,Samoan Exclusive Economic Zone,Oceania,the Independent State of Samoa,NA,the Independent State of Samoa,Samoa,Samoa,Oceania,OCE,WSM,WSM
NA,8469,Iranian Exclusive Economic Zone,Asia,the Islamic Republic of Iran,NA,the Islamic Republic of Iran,Islamic Republic of Iran (the),Iran (Islamic Rep. of),Asia,ASI,IRN,IRN
NA,8369,Mauritanian Exclusive Economic Zone,Africa,the Islamic Republic of Mauritania,NA,the Islamic Republic of Mauritania,Mauritania,Mauritania,Africa,AFR,MRT,MRT
NA,8359,Pakistani Exclusive Economic Zone,Asia,the Islamic Republic of Pakistan,NA,the Islamic Republic of Pakistan,Pakistan,Pakistan,Asia,ASI,PAK,PAK
NA,8358,Bahraini Exclusive Economic Zone,Asia,the Kingdom of Bahrain,NA,the Kingdom of Bahrain,Bahrain,Bahrain,Asia,ASI,BHR,BHR
NA,3293,Belgian Exclusive Economic Zone,Europe,the Kingdom of Belgium,NA,the Kingdom of Belgium,Belgium,Belgium,Europe,EUR,BEL,BEL
NA,8331,Cambodian Exclusive Economic Zone,Asia,the Kingdom of Cambodia,NA,the Kingdom of Cambodia,Cambodia,Cambodia,Asia,ASI,KHM,KHM
NA,5674,Danish Exclusive Economic Zone,Europe,the Kingdom of Denmark,NA,the Kingdom of Denmark,Denmark,Denmark,Europe,EUR,DNK,DNK
NA,8367,Moroccan Exclusive Economic Zone,Africa,the Kingdom of Morocco,NA,the Kingdom of Morocco,Morocco,Morocco,Africa,AFR,MAR,MAR
NA,5686,Norwegian Exclusive Economic Zone,Europe,the Kingdom of Norway,NA,the Kingdom of Norway,Norway,Norway,Europe,EUR,NOR,NOR
NA,8356,Saudi Arabian Exclusive Economic Zone,Asia,the Kingdom of Saudi Arabia,NA,the Kingdom of Saudi Arabia,Saudi Arabia,Saudi Arabia,Asia,ASI,SAU,SAU
NA,8450,Kiribati Exclusive Economic Zone (Phoenix Islands),Oceania,the Republic of Kiribati (Phoenix Islands),fao official & eez name,the Republic of Kiribati,Kiribati,Kiribati,Oceania,OCE,KIR,KIR
NA,5693,Spanish Exclusive Economic Zone,Europe,the Kingdom of Spain,NA,the Kingdom of Spain,Spain,Spain,Europe,EUR,ESP,ESP
NA,5694,Swedish Exclusive Economic Zone,Europe,the Kingdom of Sweden,NA,the Kingdom of Sweden,Sweden,Sweden,Europe,EUR,SWE,SWE
NA,8332,Thailand Exclusive Economic Zone,Asia,the Kingdom of Thailand,NA,the Kingdom of Thailand,Thailand,Thailand,Asia,ASI,THA,THA
NA,5668,Dutch Exclusive Economic Zone,Europe,the Kingdom of the Netherlands,NA,the Kingdom of the Netherlands,Kingdom of the Netherlands (the),Netherlands,Europe,EUR,NLD,NLD
NA,8448,Tongan Exclusive Economic Zone,Oceania,the Kingdom of Tonga,NA,the Kingdom of Tonga,Tonga,Tonga,Oceania,OCE,TON,TON
NA,8374,Lebanese Exclusive Economic Zone,Asia,the Lebanese Republic,NA,the Lebanese Republic,Lebanon,Lebanon,Asia,ASI,LBN,LBN
NA,8378,Algerian Exclusive Economic Zone,Africa,the People's Democratic Republic of Algeria,NA,the People's Democratic Republic of Algeria,Algeria,Algeria,Africa,AFR,DZA,DZA
NA,8481,Bangladeshi Exclusive Economic Zone,Asia,the People's Republic of Bangladesh,NA,the People's Republic of Bangladesh,Bangladesh,Bangladesh,Asia,ASI,BGD,BGD
NA,8486,Chinese Exclusive Economic Zone,Asia,the People's Republic of China,NA,the People's Republic of China,China,China,Asia,ASI,CHN,CHN
NA,8441,Kiribati Exclusive Economic Zone (Line Islands),Oceania,the Republic of Kiribati (Line Islands),fao official & eez name,the Republic of Kiribati,Kiribati,Kiribati,Oceania,OCE,KIR,KIR
NA,8488,Kiribati Exclusive Economic Zone (Gilbert Islands),Oceania,the Republic of Kiribati (Gilbert Islands),fao official & eez name,the Republic of Kiribati,Kiribati,Kiribati,Oceania,OCE,KIR,KIR
NA,5688,Portuguese Exclusive Economic Zone,Europe,the Portuguese Republic,NA,the Portuguese Republic,Portugal,Portugal,Europe,EUR,PRT,PRT
NA,21790,Mon√©gasque Exclusive Economic Zone,Europe,the Principality of Monaco,NA,the Principality of Monaco,Monaco,Monaco,Europe,EUR,MCO,MCO
NA,5670,Albanian Exclusive Economic Zone,Europe,the Republic of Albania,NA,the Republic of Albania,Albania,Albania,Europe,EUR,ALB,ALB
NA,8478,Angolan Exclusive Economic Zone,Africa,the Republic of Angola,NA,the Republic of Angola,Angola,Angola,Africa,AFR,AGO,AGO
NA,26524,Azerbaijanis Exclusive Economic Zone,Asia,the Republic of Azerbaijan,NA,the Republic of Azerbaijan,Azerbaijan,Azerbaijan,Asia,ASI,AZE,AZE
NA,8393,Beninese Exclusive Economic Zone,Africa,the Republic of Benin,NA,the Republic of Benin,Benin,Benin,Africa,AFR,BEN,BEN
NA,5672,Bulgarian Exclusive Economic Zone,Europe,the Republic of Bulgaria,NA,the Republic of Bulgaria,Bulgaria,Bulgaria,Europe,EUR,BGR,BGR
NA,8473,Ivory Coast Exclusive Economic Zone,Africa,the Republic of Côte d'Ivoire,NA,the Republic of Côte d'Ivoire,Côte d'Ivoire,NA,NA,NA,NA,CIV
NA,8362,Cape Verdean Exclusive Economic Zone,Africa,the Republic of Cabo Verde,NA,the Republic of Cabo Verde,Cabo Verde,NA,NA,NA,NA,CPV
NA,8475,Cameroonian Exclusive Economic Zone,Africa,the Republic of Cameroon,NA,the Republic of Cameroon,Cameroon,Cameroon,Africa,AFR,CMR,CMR
NA,8465,Chilean Exclusive Economic Zone,Americas,the Republic of Chile,NA,the Republic of Chile,Chile,Chile,America,AME,CHL,CHL
NA,33181,Svalbard Exclusive Economic Zone,Europe,the Svalbard Islands,fao split names,the Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen Islands (the),NA,NA,NA,NA,SJM
NA,8437,Jan Mayen Exclusive Economic Zone,Europe,the Jan Mayen Island,fao split names,the Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen Islands (the),NA,NA,NA,NA,SJM
NA,8426,Colombian Exclusive Economic Zone,Americas,the Republic of Colombia,NA,the Republic of Colombia,Colombia,Colombia,America,AME,COL,COL
NA,8453,United States Exclusive Economic Zone (Hawaii),Americas,the United States of America (Hawaii),fao official & eez name,the United States of America,United States of America (the),United States of America,America,AME,USA,USA
NA,8463,United States Exclusive Economic Zone (Alaska),Americas,the United States of America (Alaska),fao official & eez name,the United States of America,United States of America (the),United States of America,America,AME,USA,USA
NA,8379,Ascension Exclusive Economic Zone,Africa,Ascension,fao official & romname,"Ascension, Saint Helena and Tristan da Cunha","Ascension, Saint Helena and Tristan da Cunha",NA,NA,NA,NA,SHN
NA,8380,St. Helena Exclusive Economic Zone,Africa,Saint Helena,fao official & romname,"Ascension, Saint Helena and Tristan da Cunha","Ascension, Saint Helena and Tristan da Cunha",NA,NA,NA,NA,SHN
NA,8424,Costa Rican Exclusive Economic Zone,Americas,the Republic of Costa Rica,NA,the Republic of Costa Rica,Costa Rica,Costa Rica,America,AME,CRI,CRI
NA,5673,Croatian Exclusive Economic Zone,Europe,the Republic of Croatia,NA,the Republic of Croatia,Croatia,Croatia,Europe,EUR,HRV,HRV
NA,8406,Cuban Exclusive Economic Zone,Americas,the Republic of Cuba,NA,the Republic of Cuba,Cuba,Cuba,America,AME,CUB,CUB
NA,8376,Cypriote Exclusive Economic Zone,Asia,the Republic of Cyprus,NA,the Republic of Cyprus,Cyprus,Cyprus,Europe,EUR,CYP,CYP
NA,8352,Djiboutian Exclusive Economic Zone,Africa,the Republic of Djibouti,NA,the Republic of Djibouti,Djibouti,Djibouti,Africa,AFR,DJI,DJI
NA,8382,Tristan Da Cunha Exclusive Economic Zone,Africa,Tristan da Cunha,fao official & romname,"Ascension, Saint Helena and Tristan da Cunha","Ascension, Saint Helena and Tristan da Cunha",NA,NA,NA,NA,SHN
NA,8431,Ecuadorian Exclusive Economic Zone,Americas,the Republic of Ecuador,NA,the Republic of Ecuador,Ecuador,Ecuador,America,AME,ECU,ECU
NA,8428,El Salvador Exclusive Economic Zone,Americas,the Republic of El Salvador,NA,the Republic of El Salvador,El Salvador,El Salvador,America,AME,SLV,SLV
NA,8398,Equatorial Guinean Exclusive Economic Zone,Africa,the Republic of Equatorial Guinea,NA,the Republic of Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Africa,AFR,GNQ,GNQ
NA,5675,Estonian Exclusive Economic Zone,Europe,the Republic of Estonia,NA,the Republic of Estonia,Estonia,Estonia,Europe,EUR,EST,EST
NA,8325,Fijian Exclusive Economic Zone,Oceania,the Republic of Fiji,NA,the Republic of Fiji,Fiji,Fiji,Oceania,OCE,FJI,FJI
NA,5676,Finnish Exclusive Economic Zone,Europe,the Republic of Finland,NA,the Republic of Finland,Finland,Finland,Europe,EUR,FIN,FIN
NA,8400,Ghanaian Exclusive Economic Zone,Africa,the Republic of Ghana,NA,the Republic of Ghana,Ghana,Ghana,Africa,AFR,GHA,GHA
NA,8430,Guatemalan Exclusive Economic Zone,Americas,the Republic of Guatemala,NA,the Republic of Guatemala,Guatemala,Guatemala,America,AME,GTM,GTM
NA,8472,Guinean Exclusive Economic Zone,Africa,the Republic of Guinea,NA,the Republic of Guinea,Guinea,Guinea,Africa,AFR,GIN,GIN
NA,8471,Guinea Bissau Exclusive Economic Zone,Africa,the Republic of Guinea-Bissau,NA,the Republic of Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Africa,AFR,GNB,GNB
NA,8408,Haitian Exclusive Economic Zone,Americas,the Republic of Haiti,NA,the Republic of Haiti,Haiti,Haiti,America,AME,HTI,HTI
NA,8427,Honduran Exclusive Economic Zone,Americas,the Republic of Honduras,NA,the Republic of Honduras,Honduras,Honduras,America,AME,HND,HND
NA,8480,Indian Exclusive Economic Zone,Asia,the Republic of India,NA,the Republic of India,India,India,Asia,ASI,IND,IND
NA,8492,Indonesian Exclusive Economic Zone,Asia,the Republic of Indonesia,NA,the Republic of Indonesia,Indonesia,Indonesia,Asia,ASI,IDN,IDN
NA,8470,Iraqi Exclusive Economic Zone,Asia,the Republic of Iraq,NA,the Republic of Iraq,Iraq,Iraq,Asia,ASI,IRQ,IRQ
NA,5682,Italian Exclusive Economic Zone,Europe,the Republic of Italy,NA,the Republic of Italy,Italy,Italy,Europe,EUR,ITA,ITA
NA,26522,Kazakh Exclusive Economic Zone,Asia,the Republic of Kazakhstan,NA,the Republic of Kazakhstan,Kazakhstan,Kazakhstan,Asia,ASI,KAZ,KAZ
NA,8349,Kenyan Exclusive Economic Zone,Africa,the Republic of Kenya,NA,the Republic of Kenya,Kenya,Kenya,Africa,AFR,KEN,KEN
NA,26520,Bonaire Exclusive Economic Zone,Americas,Bonaire,fao official & romname,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",Netherlands,America,AME,NLD,BES
NA,26518,Saba Exclusive Economic Zone,Americas,Saba,fao official & romname,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",Netherlands,America,AME,NLD,BES
NA,26526,Sint-Eustatius Exclusive Economic Zone,Americas,Sint Eustatius,fao official & romname,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",Netherlands,America,AME,NLD,BES
NA,8327,South Korean Exclusive Economic Zone,Asia,the Republic of Korea,NA,the Republic of Korea,Republic of Korea (the),"Korea, Republic of",Asia,ASI,KOR,KOR
NA,5683,Latvian Exclusive Economic Zone,Europe,the Republic of Latvia,NA,the Republic of Latvia,Latvia,Latvia,Europe,EUR,LVA,LVA
NA,8391,Liberian Exclusive Economic Zone,Africa,the Republic of Liberia,NA,the Republic of Liberia,Liberia,Liberia,Africa,AFR,LBR,LBR
NA,5684,Lithuanian Exclusive Economic Zone,Europe,the Republic of Lithuania,NA,the Republic of Lithuania,Lithuania,Lithuania,Europe,EUR,LTU,LTU
NA,8348,Madagascan Exclusive Economic Zone,Africa,the Republic of Madagascar,NA,the Republic of Madagascar,Madagascar,Madagascar,Africa,AFR,MDG,MDG
NA,8345,Maldives Exclusive Economic Zone,Asia,the Republic of Maldives,NA,the Republic of Maldives,Maldives,Maldives,Asia,ASI,MDV,MDV
NA,5685,Maltese Exclusive Economic Zone,Europe,the Republic of Malta,NA,the Republic of Malta,Malta,Malta,Europe,EUR,MLT,MLT
NA,8343,Mauritian Exclusive Economic Zone,Africa,the Republic of Mauritius,NA,the Republic of Mauritius,Mauritius,Mauritius,Africa,AFR,MUS,MUS
NA,8361,Portuguese Exclusive Economic Zone (Azores),Europe,the Portuguese Republic (Azores Islands),fao official & romname,the Portuguese Republic,Portugal,Portugal,Europe,EUR,PRT,PRT
NA,8347,Mozambican Exclusive Economic Zone,Africa,the Republic of Mozambique,NA,the Republic of Mozambique,Mozambique,Mozambique,Africa,AFR,MOZ,MOZ
NA,8395,Namibian Exclusive Economic Zone,Africa,the Republic of Namibia,NA,the Republic of Namibia,Namibia,Namibia,Africa,AFR,NAM,NAM
NA,8317,Nauruan Exclusive Economic Zone,Oceania,the Republic of Nauru,NA,the Republic of Nauru,Nauru,Nauru,Oceania,OCE,NRU,NRU
NA,8425,Nicaraguan Exclusive Economic Zone,Americas,the Republic of Nicaragua,NA,the Republic of Nicaragua,Nicaragua,Nicaragua,America,AME,NIC,NIC
NA,8315,Palau Exclusive Economic Zone,Oceania,the Republic of Palau,NA,the Republic of Palau,Palau,Palau,Oceania,OCE,PLW,PLW
NA,8423,Panamanian Exclusive Economic Zone,Americas,the Republic of Panama,NA,the Republic of Panama,Panama,Panama,America,AME,PAN,PAN
NA,8432,Peruvian Exclusive Economic Zone,Americas,the Republic of Peru,NA,the Republic of Peru,Peru,Peru,America,AME,PER,PER
NA,5687,Polish Exclusive Economic Zone,Europe,the Republic of Poland,NA,the Republic of Poland,Poland,Poland,Europe,EUR,POL,POL
NA,8371,Senegalese Exclusive Economic Zone,Africa,the Republic of Senegal,NA,the Republic of Senegal,Senegal,Senegal,Africa,AFR,SEN,SEN
NA,8337,Seychellois Exclusive Economic Zone,Africa,the Republic of Seychelles,NA,the Republic of Seychelles,Seychelles,Seychelles,Africa,AFR,SYC,SYC
NA,8390,Sierra Leonian Exclusive Economic Zone,Africa,the Republic of Sierra Leone,NA,the Republic of Sierra Leone,Sierra Leone,Sierra Leone,Africa,AFR,SLE,SLE
NA,8485,Singaporean Exclusive Economic Zone,Asia,the Republic of Singapore,NA,the Republic of Singapore,Singapore,Singapore,Asia,ASI,SGP,SGP
NA,5692,Slovenian Exclusive Economic Zone,Europe,the Republic of Slovenia,NA,the Republic of Slovenia,Slovenia,Slovenia,Europe,EUR,SVN,SVN
NA,8396,South African Exclusive Economic Zone,Africa,the Republic of South Africa,NA,the Republic of South Africa,South Africa,South Africa,Africa,AFR,ZAF,ZAF
NA,8461,Surinamese Exclusive Economic Zone,Americas,the Republic of Suriname,NA,the Republic of Suriname,Suriname,Suriname,America,AME,SUR,SUR
NA,5697,Turkish Exclusive Economic Zone,Asia,the Republic of Türkiye,NA,the Republic of Türkiye,Türkiye,NA,NA,NA,NA,TUR
NA,8394,Congolese Exclusive Economic Zone,Africa,the Republic of the Congo,NA,the Republic of the Congo,Congo (the),Congo,Africa,AFR,COG,COG
NA,8370,Gambian Exclusive Economic Zone,Africa,the Republic of the Gambia,NA,the Republic of the Gambia,Gambia (the),Gambia,Africa,AFR,GMB,GMB
NA,8318,Marshall Islands Exclusive Economic Zone,Oceania,the Republic of the Marshall Islands,NA,the Republic of the Marshall Islands,Marshall Islands (the),Marshall Islands,Oceania,OCE,MHL,MHL
NA,8322,Philippines Exclusive Economic Zone,Asia,the Republic of the Philippines,NA,the Republic of the Philippines,Philippines (the),Philippines,Asia,ASI,PHL,PHL
NA,8355,Sudanese Exclusive Economic Zone,Africa,the Republic of the Sudan,NA,the Republic of the Sudan,Sudan (the),Sudan,Africa,AFR,SDN,SDN
NA,8482,Myanmar Exclusive Economic Zone,Asia,the Republic of the Union of Myanmar,NA,the Republic of the Union of Myanmar,Myanmar,Myanmar,Asia,ASI,MMR,MMR
NA,8420,Trinidad and Tobago Exclusive Economic Zone,Americas,the Republic of Trinidad and Tobago,NA,the Republic of Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,America,AME,TTO,TTO
NA,8366,Tunisian Exclusive Economic Zone,Africa,the Republic of Tunisia,NA,the Republic of Tunisia,Tunisia,Tunisia,Africa,AFR,TUN,TUN
NA,8313,Vanuatu Exclusive Economic Zone,Oceania,the Republic of Vanuatu,NA,the Republic of Vanuatu,Vanuatu,Vanuatu,Oceania,OCE,VUT,VUT
NA,8353,Yemeni Exclusive Economic Zone,Asia,the Republic of Yemen,NA,the Republic of Yemen,Yemen,Yemen,Asia,ASI,YEM,YEM
NA,5690,Russian Exclusive economic Zone,Europe,the Russian Federation,NA,the Russian Federation,Russian Federation (the),Russian Federation,Europe,EUR,RUS,RUS
NA,8484,Vietnamese Exclusive Economic Zone,Asia,the Socialist Republic of Viet Nam,NA,the Socialist Republic of Viet Nam,Viet Nam,Viet Nam,Asia,ASI,VNM,VNM
NA,8351,Eritrean Exclusive Economic Zone,Africa,the State of Eritrea,NA,the State of Eritrea,Eritrea,Eritrea,Africa,AFR,ERI,ERI
NA,8375,Israeli Exclusive Economic Zone,Asia,the State of Israel,NA,the State of Israel,Israel,Israel,Asia,ASI,ISR,ISR
NA,8357,Kuwaiti Exclusive Economic Zone,Asia,the State of Kuwait,NA,the State of Kuwait,Kuwait,Kuwait,Asia,ASI,KWT,KWT
NA,8372,Libyan Exclusive Economic Zone,Africa,the State of Libya,NA,the State of Libya,Libya,NA,NA,NA,NA,LBY
NA,8468,Qatari Exclusive Economic Zone,Asia,the State of Qatar,NA,the State of Qatar,Qatar,Qatar,Asia,ASI,QAT,QAT
NA,8354,Omani Exclusive Economic Zone,Asia,the Sultanate of Oman,NA,the Sultanate of Oman,Oman,Oman,Asia,ASI,OMN,OMN
NA,8387,Kerguelen Exclusive Economic Zone,Africa,the Kerguelen Islands,in website file only,the Kerguelen Islands,Kerguelen Islands (the),NA,NA,NA,NA,NA
NA,8384,South African Exclusive Economic Zone (Prince Edward Islands),Africa,Prince Edward Island,in website file only,Prince Edward Island,Prince Edward Island,NA,NA,NA,NA,NA
NA,8373,Syrian Exclusive Economic Zone,Asia,the Syrian Arab Republic,NA,the Syrian Arab Republic,Syrian Arab Republic (the),Syrian Arab Republic,Asia,ASI,SYR,SYR
NA,8392,Togolese Exclusive Economic Zone,Africa,the Togolese Republic,NA,the Togolese Republic,Togo,Togo,Africa,AFR,TGO,TGO
NA,8405,Turks and Caicos Exclusive Economic Zone,Americas,the Turks and Caicos Islands,NA,the Turks and Caicos Islands,Turks and Caicos Islands (the),NA,NA,NA,NA,TCA
NA,8334,Comoran Exclusive Economic Zone,Africa,the Union of the Comoros,NA,the Union of the Comoros,Comoros (the),Comoros,Africa,AFR,COM,COM
NA,8360,United Arab Emirates Exclusive Economic Zone,Asia,the United Arab Emirates,NA,the United Arab Emirates,United Arab Emirates (the),United Arab Emirates,Asia,ASI,ARE,ARE
NA,5696,United Kingdom Exclusive Economic Zone,Europe,the United Kingdom of Great Britain and Northern Ireland,NA,the United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom,Europe,EUR,GBR,GBR
NA,8429,Mexican Exclusive Economic Zone,Americas,the United Mexican States,NA,the United Mexican States,Mexico,Mexico,America,AME,MEX,MEX
NA,8479,Tanzanian Exclusive Economic Zone,Africa,the United Republic of Tanzania,NA,the United Republic of Tanzania,United Republic of Tanzania (the),"Tanzania, United Rep. of",Africa,AFR,TZA,TZA
NA,8339,Juan de Nova Exclusive Economic Zone,Africa,Juan de Nova Island,in website file only,Juan de Nova Island,Juan de Nova Island,NA,NA,NA,NA,NA
NA,8333,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),Asia,the Andaman and Nicobar Islands,in website file only,the Andaman and Nicobar Islands,Andaman and Nicobar Islands (the),NA,NA,NA,NA,NA
NA,8386,Amsterdam Island & St. Paul Island Exclusive Economic Zone,Africa,Amsterdam Island & St. Paul Islands,not in FAO data,NA,NA,NA,NA,NA,NA,NA
NA,8385,Crozet Islands Exclusive Economic Zone,Africa,Crozet Islands,not in FAO data,NA,NA,NA,NA,NA,NA,NA
NA,8341,Ile Europa Exclusive Economic Zone,Africa,Europa Island,not in FAO data,NA,NA,NA,NA,NA,NA,NA
NA,21791,Oecussi Ambeno Exclusive Economic Zone,Asia,Oecussi Ambeno,not in FAO data,NA,NA,NA,NA,NA,NA,NA
NA,21798,Protected Zone established under the Torres Strait Treaty,Oceania,Protected Zone established under the Torres Strait Treaty,not in FAO data,NA,NA,NA,NA,NA,NA,NA
NA,8456,United States Exclusive Economic Zone,Americas,the United States of America,NA,the United States of America,United States of America (the),United States of America,America,AME,USA,USA
NA,33180,Virgin Islander Exclusive Economic Zone,Americas,the United States Virgin Islands,NA,the United States Virgin Islands,United States Virgin Islands (the),United States of America,NA,NA,USA,VIR
NA,8454,Wallis and Futuna Exclusive Economic Zone,Oceania,the Wallis and Futuna Islands,NA,the Wallis and Futuna Islands,Wallis and Futuna Islands (the),NA,NA,NA,NA,WLF
NA,8449,Tokelau Exclusive Economic Zone,Oceania,Tokelau,NA,Tokelau,Tokelau,New Zealand,Oceania,OCE,NZL,TKL
NA,26523,Turkmen Exclusive Economic Zone,Asia,Turkmenistan,NA,Turkmenistan,Turkmenistan,Turkmenistan,Asia,ASI,TKM,TKM
NA,8326,Tuvaluan Exclusive Economic Zone,Oceania,Tuvalu,NA,Tuvalu,Tuvalu,Tuvalu,Oceania,OCE,TUV,TUV