"","ISO3CD","ROMNAM","MAPLAB","Name_En","O_Name_En","M49","ISO_3","Country","Name_En_stefania","Official_Name_En_Stefania"
"1","BRN","Brunei Darussalam","Brunei Darussalam","Brunei Darussalam","Brunei Darussalam",96,"BRN","Brunei Darussalam","Brunei Darussalam","Brunei Darussalam"
"2","SWZ","Eswatini","Eswatini","Eswatini","the Kingdom of Eswatini",748,"SWZ","Eswatini","Eswatini","the Kingdom of Eswatini"
"3","GNQ","Equatorial Guinea","Equatorial Guinea","Equatorial Guinea","the Republic of Equatorial Guinea",226,"GNQ","Equatorial Guinea","Equatorial Guinea","the Republic of Equatorial Guinea"
"4","MAC","Macao","Macao, China","China, Macao SAR","China, Macao SAR",446,"CHN","China","China, Macao SAR","China, Macao Special Administrative Region"
"5","MTQ","Martinique","Martinique (Fr.)","Martinique","Martinique",474,"FRA","France","Martinique","Martinique"
"6","CIV","Cote dIvoire","CÔøΩte d'Ivoire","Cote dIvoire","the Republic of CÔøΩte d'Ivoire",384,"CIV","Cote dIvoire","Côte d'Ivoire","the Republic of Côte d'Ivoire"
"7","MRT","Mauritania","Mauritania","Mauritania","the Islamic Republic of Mauritania",478,"MRT","Mauritania","Mauritania","the Islamic Republic of Mauritania"
"8","TGO","Togo","Togo","Togo","the Togolese Republic",768,"TGO","Togo","Togo","the Togolese Republic"
"9","TUV","Tuvalu","Tuvalu","Tuvalu","Tuvalu",798,"TUV","Tuvalu","Tuvalu","Tuvalu"
"10","LKA","Sri Lanka","Sri Lanka","Sri Lanka","the Democratic Socialist Republic of Sri Lanka",144,"LKA","Sri Lanka","Sri Lanka","the Democratic Socialist Republic of Sri Lanka"
"11","BRB","Barbados","Barbados","Barbados","Barbados",52,"BRB","Barbados","Barbados","Barbados"
"12","AGO","Angola","Angola","Angola","the Republic of Angola",24,"AGO","Angola","Angola","the Republic of Angola"
"13","NFK","Norfolk Island","Norfolk Island (Aust.)","Norfolk Island","Territory of Norfolk Island",574,"AUS","Australia","Norfolk Island","Norfolk Island"
"14","CHN","China","China","China","the People's Republic of China",156,"CHN","China","China","the People's Republic of China"
"15","SLE","Sierra Leone","Sierra Leone","Sierra Leone","the Republic of Sierra Leone",694,"SLE","Sierra Leone","Sierra Leone","the Republic of Sierra Leone"
"16","COM","Comoros","Comoros","Comoros","the Union of the Comoros",174,"COM","Comoros","Comoros","the Union of the Comoros"
"17","KOR","Republic of Korea","Republic of Korea","Korea, Republic of","the Republic of Korea",410,"KOR","Korea, Republic of","Republic of Korea","the Republic of Korea"
"18","PYF","Clipperton Island","Clipperton Island","French Polynesia","French Polynesia",258,"FRA","France","French Polynesia","French Polynesia"
"19","PHL","Philippines","Philippines","Philippines","the Republic of the Philippines",608,"PHL","Philippines","Philippines","the Republic of the Philippines"
"20","BHS","Bahamas","Bahamas","Bahamas","the Commonwealth of the Bahamas",44,"BHS","Bahamas","Bahamas","the Commonwealth of the Bahamas"
"21","ARM","Armenia","Armenia","Armenia","the Republic of Armenia",51,"ARM","Armenia","Armenia","the Republic of Armenia"
"22","ROU","Romania","Romania","Romania","Romania",642,"ROU","Romania","Romania","Romania"
"23","CXR","Christmas Island","Christmas Is. (Aust.)","Christmas Island","Christmas Island",162,"AUS","Australia","Christmas Island","Christmas Island"
"24","HMD","Heard Island and McDonald Islands","Heard Is. & McDonald Is. (Aust.)","Heard and McDonald Is.","Heard Island and McDonald Island",334,"AUS","Australia","Heard Island and McDonald Islands","Heard Island and McDonald Islands"
"25","ZAF","South Africa","South Africa","South Africa","the Republic of South Africa",710,"ZAF","South Africa","South Africa","the Republic of South Africa"
"26","SLB","Solomon Islands","Solomon Islands","Solomon Islands","Solomon Islands",90,"SLB","Solomon Islands","Solomon Islands","Solomon Islands"
"27","FIN","Finland","Finland","Finland","the Republic of Finland",246,"FIN","Finland","Finland","the Republic of Finland"
"28","ATF","Bassas da India","Bassas da India (Fr.)","French Southern Terr","French Southern and Antarctic Territories",260,"FRA","France","French Southern Territories","the French Southern Territories"
"29","CZE","Czechia","Czechia","Czechia","the Czech Republic",203,"CZE","Czechia","Czechia","the Czech Republic"
"30","BEN","Benin","Benin","Benin","the Republic of Benin",204,"BEN","Benin","Benin","the Republic of Benin"
"31","SDN","Sudan","Sudan","Sudan","the Republic of the Sudan",729,"SDN","Sudan","Sudan","the Republic of the Sudan"
"32","BMU","Bermuda","Bermuda *","Bermuda","Bermuda",60,"GBR","United Kingdom","Bermuda","Bermuda"
"33","NIC","Nicaragua","Nicaragua","Nicaragua","the Republic of Nicaragua",558,"NIC","Nicaragua","Nicaragua","the Republic of Nicaragua"
"34","MNE","Montenegro","Montenegro","Montenegro","Montenegro",499,"MNE","Montenegro","Montenegro","Montenegro"
"35","GTM","Guatemala","Guatemala","Guatemala","the Republic of Guatemala",320,"GTM","Guatemala","Guatemala","the Republic of Guatemala"
"36","SLV","El Salvador","El Salvador","El Salvador","the Republic of El Salvador",222,"SLV","El Salvador","El Salvador","the Republic of El Salvador"
"37","SSD","Ilemi Triangle","","South Sudan","the Republic of South Sudan",728,"SSD","South Sudan","South Sudan","the Republic of South Sudan"
"38","SGP","Singapore","Singapore","Singapore","the Republic of Singapore",702,"SGP","Singapore","Singapore","the Republic of Singapore"
"39","ASM","American Samoa","American Samoa *","American Samoa","American Samoa",16,"USA","United States of America","American Samoa","American Samoa"
"40","PLW","Palau","Palau","Palau","the Republic of Palau",585,"PLW","Palau","Palau","the Republic of Palau"
"41","MLT","Malta","Malta","Malta","the Republic of Malta",470,"MLT","Malta","Malta","the Republic of Malta"
"42","NRU","Nauru","Nauru","Nauru","the Republic of Nauru",520,"NRU","Nauru","Nauru","the Republic of Nauru"
"43","VEN","Venezuela","Venezuela","Venezuela, Boliv Rep of","the Bolivarian Republic of Venezuela",862,"VEN","Venezuela, Boliv Rep of","Venezuela (Bolivarian Republic of)","the Bolivarian Republic of Venezuela"
"44","WLF","Wallis and Futuna","","Wallis and Futuna Is.","Wallis and Futuna Islands",876,"FRA","France","Wallis and Futuna Islands","the Wallis and Futuna Islands"
"45","PAK","Pakistan","Pakistan","Pakistan","the Islamic Republic of Pakistan",586,"PAK","Pakistan","Pakistan","the Islamic Republic of Pakistan"
"46","BFA","Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso",854,"BFA","Burkina Faso","Burkina Faso","Burkina Faso"
"47","SDN","Halaib Triangle","","Sudan","the Republic of the Sudan",729,"SDN","Sudan","Sudan","the Republic of the Sudan"
"48","WSM","Samoa","Samoa","Samoa","the Independent State of Samoa",882,"WSM","Samoa","Samoa","the Independent State of Samoa"
"49","CAF","Central African Republic","Central African Republic","Central African Republic","the Central African Republic",140,"CAF","Central African Republic","Central African Republic","the Central African Republic"
"50","xSK","Senkaku Islands","","","",NA,"JPN","Japan",NA,NA
"51","ISL","Iceland","Iceland","Iceland","the Republic of Iceland",352,"ISL","Iceland","Iceland","Iceland"
"52","FJI","Fiji","Fiji","Fiji","the Republic of Fiji",242,"FJI","Fiji","Fiji","the Republic of Fiji"
"53","CUB","Cuba","Cuba","Cuba","the Republic of Cuba",192,"CUB","Cuba","Cuba","the Republic of Cuba"
"54","GLP","Guadeloupe","Guadeloupe (Fr.)","Guadeloupe","Guadeloupe",312,"FRA","France","Guadeloupe","Guadeloupe"
"55","UKR","Ukraine","Ukraine","Ukraine","Ukraine",804,"UKR","Ukraine","Ukraine","Ukraine"
"56","ESP","Canary Islands","Canary Islands (Sp.)","Spain","the Kingdom of Spain",724,"ESP","Spain","Spain","the Kingdom of Spain"
"57","MSR","Montserrat","Montserrat *","Montserrat","Montserrat",500,"GBR","United Kingdom","Montserrat","Montserrat"
"58","AUS","Australia","Australia","Australia","Australia",36,"AUS","Australia","Australia","Australia"
"59","DEU","Germany","Germany","Germany","the Federal Republic of Germany",276,"DEU","Germany","Germany","the Federal Republic of Germany"
"60","SPM","Saint Pierre et Miquelon","Saint Pierre et Miquelon (Fr.)","St. Pierre and Miquelon","Saint Pierre and Miquelon",666,"FRA","France","Saint Pierre and Miquelon","Saint Pierre and Miquelon"
"61","TUN","Tunisia","Tunisia","Tunisia","the Republic of Tunisia",788,"TUN","Tunisia","Tunisia","the Republic of Tunisia"
"62","xPI","Paracel Islands","","","",NA,"xPI","",NA,NA
"63","xSR","Scarborough Reef","","","",NA,"xSR","",NA,NA
"64","BES","Saba","Saba (Neth.)","Bonaire/S.Eustatius/Saba","Bonaire, Sint Eustatius and Saba",535,"NLD","Netherlands","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
"65","PSE","Gaza","Gaza","Palestine","Palestine",275,"PSE","Palestine","Palestine","Palestine"
"66","xAP","Arunachal Pradesh","","","",NA,"IND","India",NA,NA
"67","xRI","","","","",NA,"RUS","Russian Federation",NA,NA
"68","GUF","French Guiana","French Guiana (Fr.)","French Guiana","French Guiana",254,"FRA","France","French Guiana","French Guiana"
"69","MYS","Malaysia","Malaysia","Malaysia","Malaysia",458,"MYS","Malaysia","Malaysia","Malaysia"
"70","PSE","West Bank","West Bank","Palestine","Palestine",275,"PSE","Palestine","Palestine","Palestine"
"71","YEM","Yemen","Yemen","Yemen","the Republic of Yemen",887,"YEM","Yemen","Yemen","the Republic of Yemen"
"72","LBN","Lebanon","Lebanon","Lebanon","the Lebanese Republic",422,"LBN","Lebanon","Lebanon","the Lebanese Republic"
"73","NGA","Nigeria","Nigeria","Nigeria","the Federal Republic of Nigeria",566,"NGA","Nigeria","Nigeria","the Federal Republic of Nigeria"
"74","ALA","0land Islands","ÔøΩland Islands","0land Islands","ÔøΩland Islands",248,"FIN","Finland","Åland Islands","the Åland Islands"
"75","FLK","Falkland Islands (Malvinas)","Falkland Islands (Malvinas) ***","Falkland Is.(Malvinas)","the Falkland Islands (Malvinas)",238,"GBR","United Kingdom","Falkland Islands (Malvinas)","the Falkland Islands (Malvinas)"
"76","JEY","Jersey","Jersey (UK)","Jersey","Bailiwick of Jersey",832,"GBR","United Kingdom","Jersey","the Bailiwick of Jersey"
"77","GUY","Guyana","Guyana","Guyana","the Co-operative Republic of Guyana",328,"GUY","Guyana","Guyana","the Co-operative Republic of Guyana"
"78","VIR","United States Virgin Islands","United States Virgin Islands *","US Virgin Islands","the United States Virgin Islands",850,"USA","United States of America","United States Virgin Islands","the United States Virgin Islands"
"79","MDG","Madagascar","Madagascar","Madagascar","the Republic of Madagascar",450,"MDG","Madagascar","Madagascar","the Republic of Madagascar"
"80","AND","Andorra","Andorra","Andorra","the Principality of Andorra",20,"AND","Andorra","Andorra","the Principality of Andorra"
"81","SWE","Sweden","Sweden","Sweden","the Kingdom of Sweden",752,"SWE","Sweden","Sweden","the Kingdom of Sweden"
"82","MUS","Mauritius","Mauritius","Mauritius","the Republic of Mauritius",480,"MUS","Mauritius","Mauritius","the Republic of Mauritius"
"83","UGA","Uganda","Uganda","Uganda","the Republic of Uganda",800,"UGA","Uganda","Uganda","the Republic of Uganda"
"84","MDA","Moldova","Moldova","Moldova, Republic of","the Republic of Moldova",498,"MDA","Moldova, Republic of","Republic of Moldova","the Republic of Moldova"
"85","BES","Sint Eustatius","Sint Eustatius (Neth.)","Bonaire/S.Eustatius/Saba","Bonaire, Sint Eustatius and Saba",535,"NLD","Netherlands","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
"86","KWT","Kuwait","Kuwait","Kuwait","the State of Kuwait",414,"KWT","Kuwait","Kuwait","the State of Kuwait"
"87","TKL","Tokelau","Tokelau *","Tokelau","Tokelau",772,"NZL","New Zealand","Tokelau","Tokelau"
"88","JAM","Jamaica","Jamaica","Jamaica","Jamaica",388,"JAM","Jamaica","Jamaica","Jamaica"
"89","EGY","Bir Tawil","","Egypt","the Arab Republic of Egypt",818,"EGY","Egypt","Egypt","the Arab Republic of Egypt"
"90","GMB","Gambia","Gambia","Gambia","the Republic of the Gambia",270,"GMB","Gambia","Gambia","the Republic of the Gambia"
"91","UMI","Baker Island","Baker Island (USA)","US Minor Outlying Is.","the United States Minor Islands",581,"USA","United States of America","United States Minor Outlying Islands","the United States Minor Outlying Islands"
"92","MCO","Monaco","Monaco","Monaco","the Principality of Monaco",492,"MCO","Monaco","Monaco","the Principality of Monaco"
"93","IND","India","India","India","the Republic of India",356,"IND","India","India","the Republic of India"
"94","SHN","Saint Helena","Ascencion *","Saint Helena","Saint Helena, Ascension and Tristan da Cunha",654,"GBR","United Kingdom","Ascension, Saint Helena and Tristan da Cunha","Ascension, Saint Helena and Tristan da Cunha"
"95","ATF","French Southern Territories","French Southern Territories (Fr.)","French Southern Terr","French Southern and Antarctic Territories",260,"FRA","France","French Southern Territories","the French Southern Territories"
"96","SHN","Saint Helena","Tristan da Cunha *","Saint Helena","Saint Helena, Ascension and Tristan da Cunha",654,"GBR","United Kingdom","Ascension, Saint Helena and Tristan da Cunha","Ascension, Saint Helena and Tristan da Cunha"
"97","THA","Thailand","Thailand","Thailand","the Kingdom of Thailand",764,"THA","Thailand","Thailand","the Kingdom of Thailand"
"98","TCD","Chad","Chad","Chad","the Republic of Chad",148,"TCD","Chad","Chad","the Republic of Chad"
"99","PYF","French Polynesia","French Polynesia *","French Polynesia","French Polynesia",258,"FRA","France","French Polynesia","French Polynesia"
"100","DZA","Algeria","Algeria","Algeria","the People's Democratic Republic of Algeria",12,"DZA","Algeria","Algeria","the People's Democratic Republic of Algeria"
"101","BLZ","Belize","Belize","Belize","Belize",84,"BLZ","Belize","Belize","Belize"
"102","UMI","Jarvis Island","Jarvis Island (USA)","US Minor Outlying Is.","the United States Minor Islands",581,"USA","United States of America","United States Minor Outlying Islands","the United States Minor Outlying Islands"
"103","ITA","Italy","Italy","Italy","the Republic of Italy",380,"ITA","Italy","Italy","the Republic of Italy"
"104","OMN","Oman","Oman","Oman","the Sultanate of Oman",512,"OMN","Oman","Oman","the Sultanate of Oman"
"105","AZE","Azerbaijan","Azerbaijan","Azerbaijan","the Republic of Azerbaijan",31,"AZE","Azerbaijan","Azerbaijan","the Republic of Azerbaijan"
"106","GHA","Ghana","Ghana","Ghana","the Republic of Ghana",288,"GHA","Ghana","Ghana","the Republic of Ghana"
"107","HRV","Croatia","Croatia","Croatia","the Republic of Croatia",191,"HRV","Croatia","Croatia","the Republic of Croatia"
"108","EGY","Egypt","Egypt","Egypt","the Arab Republic of Egypt",818,"EGY","Egypt","Egypt","the Arab Republic of Egypt"
"109","FSM","Micronesia (Federated States of)","Micronesia (Federated States of)","Micronesia, Fed.States of","the Federated States of Micronesia",583,"FSM","Micronesia, Fed.States of","Micronesia (Federated States of)","the Federated States of Micronesia"
"110","UMI","Kingman Reef","Kingman Reef (USA)","US Minor Outlying Is.","the United States Minor Islands",581,"USA","United States of America","United States Minor Outlying Islands","the United States Minor Outlying Islands"
"111","MDV","Maldives","Maldives","Maldives","the Republic of Maldives",462,"MDV","Maldives","Maldives","the Republic of Maldives"
"112","COD","Democratic Republic of the Congo","Democratic Republic of the Congo","Congo, Dem. Rep. of the","the Democratic Republic of the Congo",180,"COD","Congo, Dem. Rep. of the","Democratic Republic of the Congo","the Democratic Republic of the Congo"
"113","GEO","Georgia","Georgia","Georgia","Georgia",268,"GEO","Georgia","Georgia","Georgia"
"114","ZMB","Zambia","Zambia","Zambia","the Republic of Zambia",894,"ZMB","Zambia","Zambia","the Republic of Zambia"
"115","SYC","Seychelles","Seychelles","Seychelles","the Republic of Seychelles",690,"SYC","Seychelles","Seychelles","the Republic of Seychelles"
"116","BGR","Bulgaria","Bulgaria","Bulgaria","the Republic of Bulgaria",100,"BGR","Bulgaria","Bulgaria","the Republic of Bulgaria"
"117","GRL","Greenland","Greenland (Denmark)","Greenland","Greenland",304,"DNK","Denmark","Greenland","Greenland"
"118","IRQ","Iraq","Iraq","Iraq","the Republic of Iraq",368,"IRQ","Iraq","Iraq","the Republic of Iraq"
"119","TLS","Timor-Leste","Timor-Leste","Timor-Leste","the Democratic Republic of Timor-Leste",626,"TLS","Timor-Leste","Timor-Leste","the Democratic Republic of Timor-Leste"
"120","FRA","France","France","France","the French Republic",250,"FRA","France","France","the French Republic"
"121","NER","Niger","Niger","Niger","the Republic of the Niger",562,"NER","Niger","Niger","the Republic of the Niger"
"122","SJM","Svalbard and Jan Mayen Islands","Svalbard & Jan Mayen Is. (Norw.)","Svalbard and Jan Mayen","Svalbard and Jan Mayen Islands",744,"NOR","Norway","Svalbard and Jan Mayen Islands","the Svalbard and Jan Mayen Islands"
"123","BDI","Burundi","Burundi","Burundi","the Republic of Burundi",108,"BDI","Burundi","Burundi","the Republic of Burundi"
"124","SMR","San Marino","San Marino","San Marino","the Republic of San Marino",674,"SMR","San Marino","San Marino","the Republic of San Marino"
"125","EST","Estonia","Estonia","Estonia","the Republic of Estonia",233,"EST","Estonia","Estonia","the Republic of Estonia"
"126","GBR","United Kingdom of Great Britain & Northern Ireland","United Kingdom of Great Britain & Northern Ireland","United Kingdom","the United Kingdom of Great Britain and Northern Ireland",826,"GBR","United Kingdom","United Kingdom of Great Britain and Northern Ireland","the United Kingdom of Great Britain and Northern Ireland"
"127","SOM","Somalia","Somalia","Somalia","the Federal Republic of Somalia",706,"SOM","Somalia","Somalia","the Federal Republic of Somalia"
"128","ALB","Albania","Albania","Albania","the Republic of Albania",8,"ALB","Albania","Albania","the Republic of Albania"
"129","xSI","Spratly Islands","","","",NA,"xSI","",NA,NA
"130","BWA","Botswana","Botswana","Botswana","the Republic of Botswana",72,"BWA","Botswana","Botswana","the Republic of Botswana"
"131","REU","Reunion","RÔøΩunion (Fr.)","Reunion","RÔøΩunion",638,"FRA","France","Réunion","Réunion"
"132","NLD","Netherlands","Netherlands","Netherlands","the Kingdom of the Netherlands",528,"NLD","Netherlands","Netherlands (Kingdom of the)","the Kingdom of the Netherlands"
"133","CHE","Switzerland","Switzerland","Switzerland","the Swiss Confederation",756,"CHE","Switzerland","Switzerland","the Swiss Confederation"
"134","ECU","Ecuador","Ecuador","Ecuador","the Republic of Ecuador",218,"ECU","Ecuador","Ecuador","the Republic of Ecuador"
"135","HTI","Haiti","Haiti","Haiti","the Republic of Haiti",332,"HTI","Haiti","Haiti","the Republic of Haiti"
"136","AUS","Ashmore and Cartier Islands","Ashmore & Cartier Is. (Aust.)","Australia","Australia",36,"AUS","Australia","Australia","Australia"
"137","SRB","Serbia","Serbia","Serbia","the Republic of Serbia",688,"SRB","Serbia","Serbia","the Republic of Serbia"
"138","NOR","Norway","Norway","Norway","the Kingdom of Norway",578,"NOR","Norway","Norway","the Kingdom of Norway"
"139","VNM","Viet Nam","Viet Nam","Viet Nam","the Socialist Republic of Viet Nam",704,"VNM","Viet Nam","Viet Nam","the Socialist Republic of Viet Nam"
"140","DNK","Denmark","Denmark","Denmark","the Kingdom of Denmark",208,"DNK","Denmark","Denmark","the Kingdom of Denmark"
"141","CAN","Canada","Canada","Canada","Canada",124,"CAN","Canada","Canada","Canada"
"142","xAC","Aksai Chin","","","",NA,"xAC","",NA,NA
"143","CMR","Cameroon","Cameroon","Cameroon","the Republic of Cameroon",120,"CMR","Cameroon","Cameroon","the Republic of Cameroon"
"144","UMI","Navassa Island","Navassa Island (USA)","US Minor Outlying Is.","the United States Minor Islands",581,"USA","United States of America","United States Minor Outlying Islands","the United States Minor Outlying Islands"
"145","PRT","Portugal","Portugal","Portugal","the Portuguese Republic",620,"PRT","Portugal","Portugal","the Portuguese Republic"
"146","PRY","Paraguay","Paraguay","Paraguay","the Republic of Paraguay",600,"PRY","Paraguay","Paraguay","the Republic of Paraguay"
"147","UMI","Howland Island","Howland Island (USA)","US Minor Outlying Is.","the United States Minor Islands",581,"USA","United States of America","United States Minor Outlying Islands","the United States Minor Outlying Islands"
"148","JOR","Jordan","Jordan","Jordan","the Hashemite Kingdom of Jordan",400,"JOR","Jordan","Jordan","the Hashemite Kingdom of Jordan"
"149","MYT","Mayotte","Mayotte","Mayotte","Mayotte",175,"FRA","France","Mayotte","Mayotte"
"150","LIE","Liechtenstein","Liechtenstein","Liechtenstein","the Principality of Liechtenstein",438,"LIE","Liechtenstein","Liechtenstein","the Principality of Liechtenstein"
"151","USA","United States of America","United States of America","United States of America","the United States of America",840,"USA","United States of America","United States of America","the United States of America"
